,eap.identity,ip.dsfield.dscp,udp.length,udp.checksum,eap.id,udp.time_relative,udp.srcport,frame.time_epoch,frame.time_delta,eap.type,ip.dsfield,radius.authenticator,radius.eap_fragment,frame.interface_name,ip.dsfield.ecn,udp.dstport,null.family,frame.len,ip.flags.rb,ip.addr,frame.section_number,ip.src_host,udp.port,ip.src,ip.version,ip.id,radius.code,eap.len,ip.ttl,frame.marked,frame.encap_type,udp.payload,frame.time_utc,ip.hdr_len,frame.ignored,udp.checksum.status,radius.avp,ip.flags,ip.dst,eap.code,_index,ip.len,_type,ip.checksum,ip.flags.df,ip.proto,frame.protocols,ip.dst_host,frame.time,frame.interface_id,ip.flags.mf,udp.stream,udp.time_delta,frame.time_relative,ip.frag_offset,radius.length,_score,ip.host,ip.checksum.status,radius.req,frame.cap_len,frame.offset_shift,radius.id,frame.time_delta_displayed,radius.avp.length,radius.avp.type,frame.number,radius.time,radius.rsp,radius.State,radius.reqframe,eap.mitm_attacks,_ws.expert.group,_ws.expert.message,eap.md5.value_size,eap.md5.value,_ws.expert.severity,radius.Message_Authenticator,radius.User_Name,radius.Framed_Compression,radius.dup,radius.req.dup
0,steve,0,95,0xfe72,102,0,53031,1440447766,0,1,0x00,40:b6:64:db:f5:d6:81:b2:ad:bd:17:69:51:51:18:c8,02:66:00:0a:01:73:74:65:76:65,lo0,0,1812,2,119,0,127.0.0.1,1,127.0.0.1,1812,127.0.0.1,4,0x7c84,1,10,64,0,15,01:67:00:57:40:b6:64:db:f5:d6:81:b2:ad:bd:17:69:51:51:18:c8:01:07:73:74:65:76:65:02:12:db:c6:c4:b7:58:be:14:f0:05:b3:87:7c:9e:2f:b6:01:04:06:c0:a8:00:1c:05:06:00:00:00:7b:50:12:5f:0f:86:47:e8:c8:9b:d8:81:36:42:68:fc:d0:45:32:4f:0c:02:66:00:0a:01:73:74:65:76:65,"Aug 24, 2015 20:22:46.440305000 UTC",20,0,2,4f:0c:02:66:00:0a:01:73:74:65:76:65,0x00,127.0.0.1,2,packets-2015-08-24,115,doc,0x0000,0,17,null:ip:udp:radius:eap,127.0.0.1,"Aug 24, 2015 20:22:46.440305000 UTC",0,0,0,0,0,0,87,,127.0.0.1,2,1,119,0,103,0,12,79,1,,,,,,,,,,,,,,,
1,,0,139,0xfe9e,,0.000563,1812,1440447766,0.000563,,0x00,83:ec:e7:07:a2:f3:1b:b6:5b:ad:fb:22:a6:40:23:d9,,lo0,0,53031,2,163,0,127.0.0.1,1,127.0.0.1,53031,127.0.0.1,4,0x949a,11,,64,0,15,0b:67:00:83:83:ec:e7:07:a2:f3:1b:b6:5b:ad:fb:22:a6:40:23:d9:06:06:00:00:00:02:07:06:00:00:00:01:08:06:ac:10:03:21:09:06:ff:ff:ff:00:0a:06:00:00:00:03:0b:09:73:74:64:2e:70:70:70:0c:06:00:00:05:dc:0d:06:00:00:00:01:4f:18:01:67:00:16:04:10:ff:0b:f1:d6:e4:01:a9:cb:e5:b4:6e:b9:43:e5:54:9a:50:12:6e:79:4a:02:0c:45:c6:6f:42:47:ba:8c:5f:f0:4e:d1:18:12:73:6f:86:85:73:08:82:77:41:4a:e3:f3:1e:ac:34:e9,"Aug 24, 2015 20:22:46.440868000 UTC",20,0,2,18:12:73:6f:86:85:73:08:82:77:41:4a:e3:f3:1e:ac:34:e9,0x00,127.0.0.1,,packets-2015-08-24,159,doc,0x0000,0,17,null:ip:udp:radius:eap,127.0.0.1,"Aug 24, 2015 20:22:46.440868000 UTC",0,0,0,0.000563,0.000563,0,131,,127.0.0.1,2,,163,0,103,0.000563,18,24,2,0.000563,1,73:6f:86:85:73:08:82:77:41:4a:e3:f3:1e:ac:34:e9,1,,,,,,,,,,,
2,,0,125,0xfe90,103,0.000993,53031,1440447766,0.00043,4,0x00,b3:e2:2f:f8:55:a6:90:28:0e:6c:34:44:c4:6e:66:3b,02:67:00:16:04:10:c7:6e:1d:28:72:6f:d1:c0:cb:67:1a:54:24:16:8d:26,lo0,0,1812,2,149,0,127.0.0.1,1,127.0.0.1,1812,127.0.0.1,4,0x10fe,1,22,64,0,15,01:68:00:75:b3:e2:2f:f8:55:a6:90:28:0e:6c:34:44:c4:6e:66:3b:01:07:73:74:65:76:65:02:12:fb:92:fb:79:8e:d9:d6:30:27:50:18:e4:5c:6c:8b:a2:04:06:c0:a8:00:1c:05:06:00:00:00:7b:50:12:8f:34:af:d1:19:60:af:92:25:82:ab:ea:64:ff:c2:f3:18:12:73:6f:86:85:73:08:82:77:41:4a:e3:f3:1e:ac:34:e9:4f:18:02:67:00:16:04:10:c7:6e:1d:28:72:6f:d1:c0:cb:67:1a:54:24:16:8d:26,"Aug 24, 2015 20:22:46.441298000 UTC",20,0,2,4f:18:02:67:00:16:04:10:c7:6e:1d:28:72:6f:d1:c0:cb:67:1a:54:24:16:8d:26,0x00,127.0.0.1,2,packets-2015-08-24,145,doc,0x0000,0,17,null:ip:udp:radius:eap,127.0.0.1,"Aug 24, 2015 20:22:46.441298000 UTC",0,0,0,0.00043,0.000993,0,117,,127.0.0.1,2,1,149,0,104,0.00043,24,79,3,,,,,,167772160,"Vulnerable to MITM attacks. If possible, change EAP type.",16,c7:6e:1d:28:72:6f:d1:c0:cb:67:1a:54:24:16:8d:26,6291456,,,,,
3,,0,52,0xfe47,,1.005906,1812,1440447767,1.004913,,0x00,71:62:4d:a2:5c:0b:58:97:f7:05:39:e0:19:a8:1e:ae,,lo0,0,53031,2,76,0,127.0.0.1,1,127.0.0.1,53031,127.0.0.1,4,0x61c6,3,,64,0,15,03:68:00:2c:71:62:4d:a2:5c:0b:58:97:f7:05:39:e0:19:a8:1e:ae:4f:06:04:67:00:04:50:12:ce:70:fe:87:a9:97:b4:4d:e5:83:cd:19:be:a2:93:21,"Aug 24, 2015 20:22:47.446211000 UTC",20,0,2,50:12:ce:70:fe:87:a9:97:b4:4d:e5:83:cd:19:be:a2:93:21,0x00,127.0.0.1,,packets-2015-08-24,72,doc,0x0000,0,17,null:ip:udp:radius:eap,127.0.0.1,"Aug 24, 2015 20:22:47.446211000 UTC",0,0,0,1.004913,1.005906,0,44,,127.0.0.1,2,,76,0,104,1.004913,18,80,4,1.004913,1,,3,,,,,,,ce:70:fe:87:a9:97:b4:4d:e5:83:cd:19:be:a2:93:21,,,,
4,steve,0,95,0xfe72,112,0,65443,1440447840,72.501243,1,0x00,a4:e4:80:05:35:8c:af:a1:bd:d4:fc:63:eb:8b:c4:76,02:70:00:0a:01:73:74:65:76:65,lo0,0,1812,2,119,0,127.0.0.1,1,127.0.0.1,1812,127.0.0.1,4,0xe3f5,1,10,64,0,15,01:71:00:57:a4:e4:80:05:35:8c:af:a1:bd:d4:fc:63:eb:8b:c4:76:01:07:73:74:65:76:65:02:12:15:b2:ec:9a:8d:cf:3e:08:03:73:84:aa:c1:61:a8:b5:04:06:c0:a8:00:1c:05:06:00:00:00:7b:50:12:4f:0d:82:ff:36:05:61:8a:a3:86:5f:5a:72:90:14:79:4f:0c:02:70:00:0a:01:73:74:65:76:65,"Aug 24, 2015 20:23:59.947454000 UTC",20,0,2,4f:0c:02:70:00:0a:01:73:74:65:76:65,0x00,127.0.0.1,2,packets-2015-08-24,115,doc,0x0000,0,17,null:ip:udp:radius:eap,127.0.0.1,"Aug 24, 2015 20:23:59.947454000 UTC",0,0,1,0,73.507149,0,87,,127.0.0.1,2,1,119,0,113,72.501243,12,79,5,,,,,,,,,,,,,,,
5,,0,139,0xfe9e,,0.000216,1812,1440447840,0.000216,,0x00,33:fd:82:fc:52:1b:41:a4:14:e3:f8:e4:18:27:5d:45,,lo0,0,65443,2,163,0,127.0.0.1,1,127.0.0.1,65443,127.0.0.1,4,0xb069,11,,64,0,15,0b:71:00:83:33:fd:82:fc:52:1b:41:a4:14:e3:f8:e4:18:27:5d:45:06:06:00:00:00:02:07:06:00:00:00:01:08:06:ac:10:03:21:09:06:ff:ff:ff:00:0a:06:00:00:00:03:0b:09:73:74:64:2e:70:70:70:0c:06:00:00:05:dc:0d:06:00:00:00:01:4f:18:01:71:00:16:04:10:ba:0b:f4:a7:e7:17:73:59:ca:a5:2e:7e:b1:0d:9d:0b:50:12:59:fd:f2:34:54:4b:48:d7:c9:32:e7:bd:72:1a:a8:d4:18:12:db:e0:f4:9f:db:91:f0:d0:23:71:8f:e6:6f:2d:e0:07,"Aug 24, 2015 20:23:59.947670000 UTC",20,0,2,18:12:db:e0:f4:9f:db:91:f0:d0:23:71:8f:e6:6f:2d:e0:07,0x00,127.0.0.1,,packets-2015-08-24,159,doc,0x0000,0,17,null:ip:udp:radius:eap,127.0.0.1,"Aug 24, 2015 20:23:59.947670000 UTC",0,0,1,0.000216,73.507365,0,131,,127.0.0.1,2,,163,0,113,0.000216,18,24,6,0.000216,1,db:e0:f4:9f:db:91:f0:d0:23:71:8f:e6:6f:2d:e0:07,5,,,,,,,,,,,
6,,0,125,0xfe90,113,0.000502,65443,1440447840,0.000286,4,0x00,8a:b0:86:d6:0a:e5:7c:a0:46:52:a6:87:10:e6:30:de,02:71:00:16:04:10:36:d9:3b:94:f1:42:71:4e:95:06:16:13:64:0e:d3:6d,lo0,0,1812,2,149,0,127.0.0.1,1,127.0.0.1,1812,127.0.0.1,4,0x4f03,1,22,64,0,15,01:72:00:75:8a:b0:86:d6:0a:e5:7c:a0:46:52:a6:87:10:e6:30:de:01:07:73:74:65:76:65:02:12:c0:23:8d:af:7e:a4:99:d4:8b:e3:25:12:a0:ae:5b:c7:04:06:c0:a8:00:1c:05:06:00:00:00:7b:50:12:c5:0b:17:d5:46:cd:f7:c0:a0:bf:ff:bd:d3:5a:72:80:18:12:db:e0:f4:9f:db:91:f0:d0:23:71:8f:e6:6f:2d:e0:07:4f:18:02:71:00:16:04:10:36:d9:3b:94:f1:42:71:4e:95:06:16:13:64:0e:d3:6d,"Aug 24, 2015 20:23:59.947956000 UTC",20,0,2,4f:18:02:71:00:16:04:10:36:d9:3b:94:f1:42:71:4e:95:06:16:13:64:0e:d3:6d,0x00,127.0.0.1,2,packets-2015-08-24,145,doc,0x0000,0,17,null:ip:udp:radius:eap,127.0.0.1,"Aug 24, 2015 20:23:59.947956000 UTC",0,0,1,0.000286,73.507651,0,117,,127.0.0.1,2,1,149,0,114,0.000286,24,79,7,,,,,,167772160,"Vulnerable to MITM attacks. If possible, change EAP type.",16,36:d9:3b:94:f1:42:71:4e:95:06:16:13:64:0e:d3:6d,6291456,,,,,
7,,0,110,0xfe81,,0.000779,1812,1440447840,0.000277,,0x00,e6:c4:59:f6:07:63:14:87:65:35:51:64:ac:59:94:14,,lo0,0,65443,2,134,0,127.0.0.1,1,127.0.0.1,65443,127.0.0.1,4,0xfb51,2,,64,0,15,02:72:00:66:e6:c4:59:f6:07:63:14:87:65:35:51:64:ac:59:94:14:06:06:00:00:00:02:07:06:00:00:00:01:08:06:ac:10:03:21:09:06:ff:ff:ff:00:0a:06:00:00:00:03:0b:09:73:74:64:2e:70:70:70:0c:06:00:00:05:dc:0d:06:00:00:00:01:4f:06:03:71:00:04:50:12:69:ff:0a:ab:72:16:68:cd:28:25:6d:e5:75:73:b9:bd:01:07:73:74:65:76:65,"Aug 24, 2015 20:23:59.948233000 UTC",20,0,2,01:07:73:74:65:76:65,0x00,127.0.0.1,,packets-2015-08-24,130,doc,0x0000,0,17,null:ip:udp:radius:eap,127.0.0.1,"Aug 24, 2015 20:23:59.948233000 UTC",0,0,1,0.000277,73.507928,0,102,,127.0.0.1,2,,134,0,114,0.000277,7,1,8,0.000277,1,,7,,,,,,,,steve,,,
8,,0,83,0xfe66,,0,57717,1440447848,8.247882,,0x00,27:89:6a:a2:d9:71:9b:b1:36:ca:6d:51:d9:25:ea:83,,lo0,0,1812,2,107,0,127.0.0.1,1,127.0.0.1,1812,127.0.0.1,4,0xafd7,1,,64,0,15,01:61:00:4b:27:89:6a:a2:d9:71:9b:b1:36:ca:6d:51:d9:25:ea:83:01:07:73:74:65:76:65:02:12:e4:7f:ed:f8:e6:6d:2b:62:11:40:70:90:b9:29:f0:03:04:06:c0:a8:00:1c:05:06:00:00:00:7b:50:12:5e:3a:dc:9e:fc:35:24:20:e8:ca:85:2c:df:d2:02:dd,"Aug 24, 2015 20:24:08.196115000 UTC",20,0,2,50:12:5e:3a:dc:9e:fc:35:24:20:e8:ca:85:2c:df:d2:02:dd,0x00,127.0.0.1,,packets-2015-08-24,103,doc,0x0000,0,17,null:ip:udp:radius,127.0.0.1,"Aug 24, 2015 20:24:08.196115000 UTC",0,0,2,0,81.75581,0,75,,127.0.0.1,2,1,107,0,97,8.247882,18,80,9,,,,,,,,,,,5e:3a:dc:9e:fc:35:24:20:e8:ca:85:2c:df:d2:02:dd,,,,
9,,0,79,0xfe62,,0.000275,1812,1440447848,0.000275,,0x00,8f:2f:54:cf:bb:2b:5e:38:6e:6d:25:2c:ab:d4:68:91,,lo0,0,57717,2,103,0,127.0.0.1,1,127.0.0.1,57717,127.0.0.1,4,0x875a,2,,64,0,15,02:61:00:47:8f:2f:54:cf:bb:2b:5e:38:6e:6d:25:2c:ab:d4:68:91:06:06:00:00:00:02:07:06:00:00:00:01:08:06:ac:10:03:21:09:06:ff:ff:ff:00:0a:06:00:00:00:03:0b:09:73:74:64:2e:70:70:70:0c:06:00:00:05:dc:0d:06:00:00:00:01,"Aug 24, 2015 20:24:08.196390000 UTC",20,0,2,0d:06:00:00:00:01,0x00,127.0.0.1,,packets-2015-08-24,99,doc,0x0000,0,17,null:ip:udp:radius,127.0.0.1,"Aug 24, 2015 20:24:08.196390000 UTC",0,0,2,0.000275,81.756085,0,71,,127.0.0.1,2,,103,0,97,0.000275,6,13,10,0.000275,1,,9,,,,,,,,,1,,
